,Título,Preço
637,Rig de Mineração para 4 GPUs e 6 Fans MDF 6mm RM4G6F V3 Preto + Manual de Montagem,183.08
638,Dado Eletrônico para Programação - PL3,21.52
639,Válvula Solenoide para Água 12V NA 180° ( 1/2 x 1/2),75.91
640,Bico Gotejador Regulável Estaca com Bico Nebulizador 1/4,13.49
641,Kit Gerador de Alta Tensão HV-1 DIY Entrada 3 a 5V DC e Saída 15000V,34.96
642,Amplificador Max31865 RTD para Pt1000,89.78
643,Estrutura em MDF para Mini Casa Sustentável DIY,31.73
644,Kit Prototipagem Básico com Protoboard 400 Pontos + Jumpers - 41 Peças,43.99
645,"Livro Arduino - Movimento, Luz e Som com Arduino e Raspberry Pi",78.40
646,Kit Luz Estroboscópica NE555 + CD4017 DIY,31.23
647,Livro Manual de Projetos do Arduino: 25 Projetos Práticos para Começar com Arduino,83.79
648,Módulo Sensor de Umidade HR202L Higrômetro HR31 com Encapsulamento,13.47
649,Correia GT2 6mm Fechada 852mm para Impressora 3D e CNC,30.88
650,ULN2003 Driver para Motor de Passo,9.88
651,Célula de Carga Arduino 100kg Sensor de Peso Mavin NA2,265.53
652,Colar de Bloqueio Fuso T8 Impressora 3D,7.41
653,Módulo Teclado com 5 Botões AD-Keyboard,22.33
654,Transformador de Corrente TC 5A 12V / Sensor de Corrente AC com Relé,37.91
655,Controlador Gráfico para Painel de Impressora 3D RepRap com LCD 128x64 e Slot SD,178.55
656,Nozzle Bico Extrusora Impressora 3D 0.5mm,6.92
657,"Polia GT2 Tensora Lisa ID3 OD13 W6 / Sem Dentes, Eixo 3mm, Diâmetro 13mm para Correia de 6mm",11.88
658,Tubo de Teflon Ptfe 4mm x 3mm para Filamento 2.85mm - 1 Metro,18.91
659,TFT LCD 3.95” Shield Arduino Touch Screen com Slot SD,113.05
660,Sensor de Proximidade TMD27713 (LED IR + ALS),36.81
661,Módulo Relé 2 Canais Micro USB com Conversor CH340,89.68
662,Case em MDF para Useless Box Caixa Inútil BS100 + Manual de Montagem,40.28
663,Case em MDF para Jogo do Labirinto Ludio + Manual de Montagem,39.10
664,Kit TFT LCD 3.2” Touch com Mega Shield Arduino + Kit de Jumpers,242.25
665,Display OLED 0.91 I2C 128x32 Azul para Arduino,33.82
666,Válvula Solenoide para Água 12V NA 180° ( 3/4 x 3/4),66.74
667,"Livro Eletrônica Fácil - Aprenda de Modo Rápido, Simples e Divertido",36.96
668,Isolamento Térmico para Impressora 3D Auto-Adesivo 20x20cm,28.25.   19.86
669,Controlador PWM 15A 1000W  para Velocidade de Motores 6V à 90V,53.11
670,Suporte para Motor K30 - Kit com 2 Unidades,5.89
671,Kit Joystick Arduino em Acrílico com Comando Analógico Duplo + Parafusos de Fixação,45.59
672,Furador para Mangueira de Irrigação por Gotejamento Duplo 3 e 4mm,14.87
673,Kit Piano Elétrico DIY NE555 com 8 Teclas e Alto-Falante,24.84
674,Sensor de Nível de Água Vertical 200mm em Aço Inoxidável para Água Quente,66.41
675,Arduino Mega 2560 R3 com CH340G,198.55
676,Kit Coração de Led Pulsante DIY 4V a 6V para Aprendizagem Eletrônica HBL22 - Vermelho,19.86
677,Kit Projeto Relógio Eletrônico Digital STC12C2052 com Alarme DIY,59.76
678,"Polia GT2 Tensora 20T ID3 OD16 W6 / 20 Dentes, Eixo 3mm, Diâmetro 16mm para Correia de 6mm",11.88
679,Suporte para Motor de Passo Nema 17 42x42mm em MDF - SN42,4.20
680,Conversor RS485 para Sensor PT100 Modbus RTU,59.76
681,Controle Wii Nunchuck para Arduino,61.85.   19.86
682,Barra Roscada Fuso M8 x 200mm para Impressora 3D + Castanha,72.35.   43.61
683,Suporte Eixo Linear Shf8 para Eixo 8mm,23.75
684,Kit Coração de Led Pulsante DIY 4V a 6V para Aprendizagem Eletrônica HBL22 - Azul,19.86
685,Motor Shield L298 Driver Ponte H com Interface para Servo Motor e Bluetooth,104.03
686,"Polia GT2 Tensora 20T ID3 OD18 W6 / 20 Dentes, Eixo 3mm, Diâmetro 18mm para Correia de 6mm",11.88
687,Display LCD 128x64 JLX12864G-086 SPI,66.41
688,Conversor Analógico Digital ADS1115 16 Bits 4 Canais ADC,73.91
689,"Shield Arduino Multifunções K596 com DHT11, LM35, Receptor IR, LDR, LEDs, Buzzer e Outros",64.74
690,Barra Roscada Fuso M8 x 100mm para Impressora 3D + Castanha,49.98.   30.31
691,Mini Bobina de Tesla Musical 15V DIY,59.76
692,Livro Arduino - Guia do Maker para o Apocalipse Zumbi,59.76
693,Nano I/O Shield / Expansor para Arduino Nano com Slot para Xbee e NRF24L01 - RBT1.0,36.81
694,Livro Aprenda Eletrônica com Arduino,87.88
695,Sensor de Fluxo de Água com Interruptor Magnético EFS-04P G1/2,42.66
696,Sensor Flex 4.5” Premium para Projetos,379.05
697,Motor DC 6V JGA25 com Caixa de Redução 211RPM,121.70.   50.26
698,Correia GT2 6mm Fechada 110mm para Impressora 3D e CNC,10.22
699,Espátula para Impressora 3D Super Fina em Aço,14.23
700,Transmissor de Temperatura Pt100 Conversor -50~200°C Saída 0 a 10V,79.75
701,Sensor Shield V4.0 para Arduino,29.83
702,Sensor de Chuva Arduino CJMCU-606,61.06.   22.86
703,"Polia GT2 Tensora Lisa ID3 OD16 W6 / Sem Dentes, Eixo 3mm, Diâmetro 16mm para Correia de 6mm",13.20
704,Módulo Relé 3V 10A 8 Canais com Optoacopladores para ESP32,123.22
705,Toca Discos Vinil DIY Orbis em MDF Completo + Manual de Montagem,266.77
706,Sensor de CO2 MH-Z19B Infravermelho 5000ppm + Cabo,359.58
707,Controlador PWM 20A 1200W para Velocidade de Motores 10V à 60V,39.81
708,Estrutura MDF para Carro Robô 2WD,17.16
709,Detector de Gás / Sensor de Gás MQ-137 - Amônia,377.56
710,Conversor Serial UART TTL para Ethernet TCP/IP HS2003,113.53
711,Antena 433MHz 3dbi + Cabo Pigtail UFL Mini com SMA Fêmea,28.41
712,"Sensor de Qualidade do Ar MICS-6814 / Sensor de Gás Monóxido de Carbono, Dióxido de Nitrogênio, Amônia, Metano e...",265.53
713,Módulo de Memória EEPROM Mini - AT24C02,11.31
714,Cortador de Mangueira e Tubo Pu ou Pa - CM14,29.34
715,Useless Box Arduino / Caixa Inútil Completa BS100 + Manual de Montagem,306.26
716,Suporte Eixo Linear Sk12 para Eixo 12mm,15.68
717,Estrutura MDF para Alimentador Automático Pets Canem + Manual de Montagem,81.10
718,Sensor de Fluxo de Água YF-B7 G 1/2 1-25 l/min Metálico com Sensor de Temperatura,85.41
719,Sensor de Vibração e Toque Piezoelétrico 27mm Analógico,14.16
720,Câmera Térmica Arduino AMG8833 8x8,389.03
721,"Módulo Programador Attiny85, Attiny13A, Attiny25 e Attiny45 com Micro USB",9.88
722,Botão Power 16mm com Fios para Rig de Mineração em Alumínio com LED Azul,40.34
723,Conversor Serial TTL para RS485 MAX1348 TTL485 V2.0,22.71
724,Conversor RS485 para 0-20mA 4-20mA Modbus RTU,59.76
725,Controlador Gráfico para Painel de Impressora 3D RepRap com LCD 20x4 e Slot SD,125.59
726,Shield Data Logger para Arduino Nano com RTC DS1307 para Registro de Dados,77.71
727,Openlog Datalogger Arduino Registrador de Dados Serial ATmega328P com Slot Micro SD,65.46
728,"Polia GT2 Tensora Lisa ID3 OD18 W6 / Sem Dentes, Eixo 3mm, Diâmetro 18mm para Correia de 6mm",11.88
729,Relé com Controle Remoto Infravermelho 5V 10A 1 Canal - IR05V,46.79
730,Sensor de Distância a Laser TOF10120 de Alta Precisão + Cabo - 10 a 180cm,109.16
731,Case em MDF para Termômetro Infravermelho Arduino TI100,16.72
732,Jogo do Labirinto com Arduino DIY Ludio Completo + Manual de Montagem,284.60
733,Mini Motor DC N40 3.7V para Projetos,10.48
734,Isolador Óptico SV-5A1R1P-N 1 Canal 5V,28.83
735,Kit Robótica Educacional 13 Robôs em 1 com Painel Solar,198.55
736,Caixa Patola PB-073/2 para Montagem 40 x 53 x 73 mm,7.58
737,Kit Joystick Arduino em MDF com Comando Analógico Duplo + Parafusos de Fixação,36.42
738,"Extrusora Hotend V6 LD 0.4 3.0mm Longa Distância com Aquecedor, Termistor, Bico e Cooler + Tubo ptfe",94.40.   59.76
739,Rolamento de Esfera 6001 ZZ Blindado (12x28x8),10.36
740,Kit de Nivelamento para Mesa Aquecida da Impressora 3D - CR10,16.86
741,Kit Arduino Básico Uno R3 + Estojo MDF - KB05,147.48
742,Controlador de Carga XY-CD60L para Bateria de Lítio e Chumbo 6V-60V,75.91
743,Alimentador Automático para Pets com Arduino DIY Canem Completo + Manual de Montagem,342.73
744,Gerador de Funções XR2206 DIY 1Hz a 1Mhz,52.16
745,Buzzer Ativo 24V Bip Contínuo PCI 12mm,3.70
746,Sensor de Corrente AC / DC 150A Efeito Hall ACS758,35.53
747,Chassi Arduino Tanque tipo Lagarta 2WD MDF com Esteiras - CT200,73.53
748,"Rolamento com Flange F684zz (4x9,5x4)",8.88
749,Correia GT2 6mm Fechada 610mm para Impressora 3D e CNC,19.86
750,Módulo LoRa 868Mhz SX1276 RF Wireless + Antena,83.70
751,Sensor MG811 Detector de Dióxido de Carbono CO2,379.05
752,Mini Motor DC N50 3.7V para Projetos,15.11
753,Receptor 433Mhz RXC6 PT2262 Super Heteródino + Antena - Compatível com Controle EV1527,28.41
754,"Polia GT2 Tensora 20T ID5 OD18 W10 / 20 Dentes, Eixo 5mm, Diâmetro 18mm para Correia de 10mm",12.47
755,Servo Motor TD-8120MG Tiankongrc 180° 20Kgf.cm de Posição com Alto Torque e Engrenagens Metálicas,132.91
756,Extensor para Rig de Mineração RM4G6F V3 com 4 GPUs e 6 Fans MDF 6mm + Manual de Montagem,79.33
757,Rolamento Linear 12mm LM12UU para Impressora 3D e CNC,17.47
758,Sensor de Umidade HR202L Higrômetro HR31 com Encapsulamento,9.88
759,Rolamento com Flange F604zz (4x12x4),8.88
760,Kit Irrigação por Gotejamento Completo 1/4 10m - KG10,180.59.   138.31
761,"SIM808 Módulo GSM, GPS e Bluetooth Arduino Quad-band com Slot para SIM + Antenas",246.53
762,Placa MEGA 2560 Pro com CH340,180.03
763,Borracha Passa Fio N°40 - Kit com 10 Unidades,6.89
764,Mancal Kp08 com Rolamento para Eixo 8mm,52.06
765,Livro Como Montar um Robô com Arduino,34.11
766,Sensor de Nivelamento Indutivo NPN PL-08N NA 8mm,37.91
767,Círculo de Led Giratório DIY Ativado por Som com CD4017,19.86
768,Conector Reto Pneumático 4mm x Rosca Macho 3/8,4.66
769,Placa de Proteção para Bateria BMS 18650 3S 10A 12V HX-3S-FL10,14.87
770,Adesivo Magnético para Mesa da Impressora 3D 235x235mm,157.11
771,Wemos Samd21 Mini Cortex M0 32bits 48MHz,141.46
772,Módulo Gerador PWM TL494 500Hz-100kHz,17.96
773,Balança para Arduino em MDF 6mm com 2 Células de Carga de 50kg - PL100,75.42
774,Mini Umidificador de Ar Ultrassônico 5V Névoa 40 ml/h,31.26
775,Conversor RS485 Modbus para Sinal de Entrada 2 x 4-20mA,49.31
776,Suporte para Castanha M8 Trapezoidal Impressora 3D,50.14
777,Módulo Relé 5V 10A 16 Canais com Optoacopladores,137.75
778,Cabo Adaptador Y 8x8 (2x6+2) 18AWG para GPUs de Mineração,36.90.   23.66
779,Extensor para Rig de Mineração RM4G6F V2 com 4 GPUs e 6 Fans MDF 6mm + Manual de Montagem,88.80
780,Mini Casa Sustentável DIY com Geração de Energia Manual Completa,114.70
781,Matriz de LED 8x16 Azul I2C 128 Leds AIP1640,66.41
782,Engrenagem Extrusora Ultimaker 2 Serrilhada Furo 5mm Impressora 3D,19.86
783,Estrutura em MDF para Robô Ludos,20.62
784,Suporte Exaustor Superior MDF SES3 para 3 Fans em Rig de Mineração,49.16
785,Conversor de Frequência 0 a 1KHz para Tensão 0 a 10V,45.19
786,Rig de Mineração para 8 GPUs e 12 Fans MDF 6mm RM8G12F V3 Preta + Manual de Montagem,299.05
787,Micro Motor de Passo 5V 8x9mm Eixo 0.75mm,11.31
788,Eixo Linear 8mm x 370mm para Impressora 3D,80.31
789,Display OLED 0.42 I2C 70x40 Branco para Arduino,39.73
790,Isolador PTFE 1.75mm Hotend Olsson Ultimaker 2,16.86
791,Receptor FM PLL LCD 87-108MHZ com Tela de 1 - Compatível com Comando Serial,74.01
792,Módulo Relé RS485 12V Modbus-Rtu 1 Canal,68.31
793,Estrutura em MDF para Toca Discos Vinil DIY Orbis + Manual de Montagem,42.52
794,Kit Árvore de Natal MDF com Leds DIY Arbor para Aprendizagem Eletrônica,78.74
795,Balança para Arduino em MDF 6mm com 4 Células de Carga de 50kg - PL200,106.39
796,Válvula de Bloqueio Pneumática 4mm Manual com Conexão Instantânea,13.21
797,Arduino UNO Wifi Atmega328P com ESP8266 e CH340,113.53
798,Conversor USB para TTL RS232 PL2303 Prolific,14.16
799,Sensor de Presença de Filamento para Impressora 3D,39.81
800,Conector Engate Rápido com Rosca de 3/4 e Redução para 1/2,13.87
801,Kit Irrigação por Gotejamento Completo 1/4 15m - KG15,209.98
802,Sensor de Gás Ozônio MQ-131 Duplo para Baixa e Alta Concentração,523.69
803,Arduino Mega Wifi R3 Atmega2560 com ESP8266 e CH340,284.53
804,Expansor para Arduino Nano V3 com Bornes,17.96
805,"Waldunano V1 Shield para Arduino Nano com Conexão para ESP8266, Bluetooth, Display, Xbee",39.81
806,Kit de Peças em MDF para Robótica 62 Peças DIY KTE01,29.55
807,Extrusora Impressora 3D Mk10 1.75mm - Lado Direito,59.76
808,E-Paper Display Arduino MH-ET LIVE 1.54” SPI,188.90.   132.91
809,Isolador PTFE 3mm Hotend Olsson Ultimaker 2,16.86
810,Bloco Aquecedor Hotend RepRap Impressora 3D,23.85
811,Gerador Onda Senoidal EGS002 ( EG8010 + IR2110) + Display LCD 3220,98.75
812,"Motor de Passo 12V 0,12Kgf.cm 16HA0003C",118.70
813,"Motor DC 12V TKF37JPG3429-670 com Caixa de Redução 13RPM 8,5Kgf.cm",109.23
814,Módulo MP3 DY-SV17F com Memória 4 MByte I/O UART 5W,33.82
815,Fechadura Elétrica Solenóide 12V NF Compacta FEC-91 - Lingueta Superior,47.41
816,Extrusora Impressora 3D Mk10 1.75mm - Lado Esquerdo,59.76
817,Suporte para Teclado Matricial 3x4 12 Teclas - Case Inclinado em MDF,11.42
818,Placa Nano Every ATmega4808 Arduino Compatível,128.68
819,Sensor de Toque Capacitivo com Mola para Controle Luminoso,16.86
820,Controlador PWM 10A 400W para Velocidade de Motores 12V à 40V,50.78
821,Adaptador Add2psu para Ligar Duas Fontes Atx - 24 Pinos,27.06
822,Sensor de Proximidade E3F-DS30C1 Infravermelho NPN NO - Detecção 10 a 30cm,49.78
823,Módulo Sensor de PH BNC PH4502C Sem Sonda,128.68
824,Driver Controlador RGB P9813 para Leds e Fitas de Led,74.96
825,Kit Educacional Livro Manual de Projetos do Arduino - Mark Geddes com 215 Peças,529.65
826,Sensor de Umidade de Solo 12V com Relé FC-50,28.41
827,Sirene para Alarme 6~24V 90dB de Alta Potência LZQ-3D,28.41
828,Módulo Ethernet LAN8720 RMII com RJ45,39.43
829,Sensor de Umidade e Temperatura HDC1080,39.43
830,Fixador Suporte U para Hotend V6,12.87
831,"Extrusora Hotend V6 SD 0.4 3.0mm Curta Distância com Aquecedor, Termistor, Bico e Cooler + Tubo ptfe",98.66
832,Joystick Arduino 5 Eixos IO Keypad com Teclado Matricial 2x5,70.84.   39.21
833,Case em MDF para Voltímetro Analógico VA100,17.67
834,Chocadeira Arduino EGG Completa com Controle de Temperatura + Manual de Montagem,565.53
835,Gerador de Ozônio Portátil 15g/h\xa0Cerâmico 220V Higienizador,492.35.   301.06
836,Livro Nas Linhas do Arduino: Programação Wiring para Não Programadores,55.48
837,Mini Motor DC N20 para Projetos Eixo 1x1.6mm,15.23
838,Cabo Riser Usb 3.0 009S Extensor PCI Express com Capacitores para Mineradora,157.40.   100.61
839,Filtro de Linha 3 Tomadas 8A Bivolt FLP3 3 Metros com Fusível de Proteção e Chave ON/OFF - Ideal para Rig de...,69.73
840,Extensor para Rig de Mineração RM4G6F V3 Preto com 4 GPUs e 6 Fans MDF 6mm + Manual de Montagem,115.97
841,Conversor RS485 para Sensor NTC 10K Modbus RTU,68.78
842,Bússola Digital GY511 LSM303DLHC com Magnetômetro e Acelerômetro 3 Eixos,34.96
843,Controlador de Carga para Bateria 12V XH-M601 com Relé e Trimpots,25.56
844,Módulo FTDI FT232RL Conversor USB Serial TTL e RS232 com Seletor 3.3V / 5V,27.46
845,Kit Irrigação por Gotejamento Completo 1/4 5m - KG5,132.10
846,Dissipador de Calor M6 11mm Impressora 3D,17.86
847,"Camiseta Maker “Hello, World” - Preta M",62.71
848,Sensor de Auto Nivelamento 3D Touch para Impressora 3D,183.45
849,Suporte Eixo Linear Sk16 para Eixo 16mm,23.85
850,Sensor de Fumaça HIS-07 com Câmara de Íons,26.90.   21.76
851,Cabo Hub Multi Fan para 5 Fans Cooler 3 ou 4 Pinos Pwm com Molex,37.91
852,Y União Pneumática 4mm com Conexão Instantânea,6.56
853,"Conversor RS485 para Pinos Digitais TTL, CMOS, IO Modbus RTU",76.71
854,Antena Helicoidal 433Mhz Dourada,5.61
855,Controlador de Relé 8 Canais 5V RS485 Modbus RTU RS232 TTL,65.84
856,Sensor de CO2 MH-Z14A Infravermelho + Cabo,359.10
857,Encoder Incremental Rotativo 600 Pulsos Eixo 6mm 5/24VDC E38S6G5-600B-G24N,275.03
858,Irrigador por Gotejamento para Garrafa Pet\xa0com Ajuste de Vazão,8.46
859,Cabo Pigtail UFL com conector SMA Fêmea - Sem Porca,13.21
860,Bico Gotejador Regulável 1/4 0-40 L/h 8 Furos - Kit com 5 Unidades,11.29
861,Servo Motor Hitec HS-805BB+ 180° 24.7kgf.cm Alto Torque de Posição,659.85
862,Módulo de Memória USB 8GB para Armazenamento de Dados,44.85.   18.09
863,Módulo de Memória USB 16GB para Armazenamento de Dados,60.72.   22.60
864,Placa Distribuição Energia ESC para Drone Quadricóptero - PD60,69.46.   18.91
865,Sintonizador TDA7786 AM / FM de Alto Desempenho,69.73
866,Estrutura MDF para Balança com 2 Células de Carga PL100,23.47
867,Controle Remoto 433Mhz Transmissor RF 4 Canais EV1527,48.18
868,Jogo do Choque com Arduino DIY Storm V1 Completo,292.10
869,Robô Ludos para Robótica Educacional Completo,270.01
870,Cabo ATX 24 pinos PSU para Ligar 3 Fontes na Rig de Mineração,34.11
871,Estrutura MDF para Carro Robô Redondo 2WD,22.79
872,Sensor PIR de Movimento BTE16-19 120°,34.11
873,Kit Ampulheta Eletrônica DIY 5V com Leds,39.81
874,Kit Projeto Diy Sino Led com Balanço Eletrônico,63.56
875,Interruptor Sonoff WiFi RE5V1c com Relé de Estado Sólido 10A,84.84
876,Módulo GPS Arduino GY-NEO6MV2 com Antena - OUTLET,61.66
877,Sensor de Peso Célula de Carga 0 a 5kg para Arduino - OUTLET,29.64
878,Receptor 315Mhz RXB22 Super Heteródino,15.96
879,Rolamento Linear 16mm LM16UU para Impressora 3D e CNC,25.00
880,Base Shield Arduino / Expansor de Entradas e Saídas V1.1,121.54.   53.11
881,Rolamento com Flange F624zz G (4x13x5),8.88
882,PS/2 Arduino Conversor PS/2 para TWI I2C,53.35.   24.61
883,Voltímetro Analógico DIY com Arduino VA100 Completo,164.98
884,Estrutura em Acrílico para Chocadeira Arduino EGG + Manual de Montagem,225.15
885,Estrutura MDF para Balança com 4 Células de Carga PL200,25.37
886,Estrutura em MDF para Jogo do Choque com Arduino DIY Storm V1,36.48
887,Expansor PCI Express x1 para x3 PCIE Riser com USB 3.0 em Rig Mineração,340.48.   237.41
888,Controlador PWM 1203BS 3A para Motor DC  0 a 100% com Reverso,52.63
889,Mini Carro Solar Nano com Motor e Painel Fotovoltaico - VB030,22.71
890,Leitor Biométrico para Arduino AS608 + Cabo,127.78
891,Acelerômetro e Giroscópio MPU9250 - GY-9250,132.05
892,Sensor de Umidade e Temperatura AM2315C ASAIR I2C + Encapsulamento e Suportes,277.88
893,Anemômetro Arduino + Indicador de Direção do Vento para Estação Meteorológica SVDV10,663.10
894,Teclado Matricial Membrana 3x4 12 Teclas,9.98
895,Lente Laser CO2 12mm para Máquina de Corte a Laser CNC,208.51
896,Camiseta Maker “Trust Me I’m a Maker” - Preta GG,62.71
897,Camiseta Maker “Trust Me I’m a Maker” Robotic - Preta GG,62.71
898,"Waldunano V2 Shield para Arduino Nano com Conexão para ESP8266, Bluetooth, Display e Xbee",43.94
899,Cabo Riser Usb 3.0 Extensor PCI Express com Capacitores para Mineradora,166.95.   122.46
900,Cabo ATX 24 pinos PSU para Ligar 2 Fontes na Rig de Mineração,28.41
901,Grove Speaker Amplificador de Áudio com Alto Falante + Cabo,53.11
902,Regulador de Fluxo Pneumático 4mm x Rosca 3/8,7.51
903,Conversor RS485 para Sensor SHT30 Modbus RTU,72.77
904,Conversor RS485 / RS232 para Relé 12V Modbus RTU,72.72
905,Teclado Matricial 4x4 16 Teclas Rígido,45.79
906,Kit de Isolamento para Medidor de TDS V1.0,17.96
907,Suporte para Roda 68mm com Eixo Duplo - Sem Motor,9.41
908,Emenda para Mini Bomba de Água Peristáltica - Kit com 2 Unidades,9.41
909,Controlador de Carga Solar 10A PWM 12V/24V com 2 portas USB 158-A,85.41
910,Case para Arduino Mega com Parafusos em Acrílico Transparente - OUTLET,25.56
911,Sensor de Obstáculo Reflexivo Infravermelho HW-201 com Ajuste de Sensibilidade,21.38
912,Fechadura Eletrônica 12V SARY 50mm com Detecção de Abertura,119.61
913,Interruptor Remoto 433Mhz Botão Portátil RF 1 Canal EV1527 5mW,33.16
914,Motor de Passo Astrosyn 34PM-C042 - 6 Fios,250.12
915,Espelho Máquina Corte Laser Co2 Mo 20mm,82.82
916,Camiseta Maker “Trust Me I’m a Maker” - Preta M,62.71
917,Camiseta Maker “Trust Me I’m a Maker” Robotic - Preta M,62.71
918,Camiseta Maker “Trust Me I’m a Maker” - Roxa M,62.71
919,Camiseta Maker “Trust Me I’m a Maker” - Preta G,62.71
920,Gerador de Ozônio Portátil 5g/h\xa0Cerâmico 220V,492.45.   238.36
921,Expansor PCI Express x1 para x4 PCIE Riser com USB 3.0 em Rig Mineração,352.35.   284.05
922,União Reta Pneumática 4mm com Conexão Instantânea,3.71
923,Cotovelo União Pneumática 90° 4mm com Conexão Instantânea,2.76
924,Sensor de Movimento PIR Sem Fio Rf 433Mhz Infravermelho,117.61
925,Sonoff Mini R2 WiFi com Interruptor Paralelo,94.05
926,Transceptor RS485 868MHz RT18A01 Master Slave 500m + Antena,151.91
927,Módulo 6 Leds com Resistor para Testes com Arduino,25.56
928,Módulo Controlador Serial CAN BUS TJA1050,18.91
929,Módulo de Controle Paralelo para Motor de Passo Nema 17,19.86
930,Sensor de Temperatura LM75A I2C de Alta Velocidade,24.61
931,Módulo High Speed CAN BUS MCP2551,20.81
932,Conversor de Nível Lógico I2C 5V para 3.3V HW-024,7.51
933,Sensor de Nivelamento Indutivo NPN SN04-N NA 4mm - OUTLET,17.96
934,Módulo Display 7 Segmentos 2 Dígitos Vermelho 74HC595 - OUTLET,12.26
